타짜: 원 아이드 잭	20190911	 2,229,239 	96951
신의 한 수: 귀수편	20191107	 2,157,437 	179159
알리타: 배틀 엔젤	20190205	 1,952,063 	66728
내안의 그놈	20190109	 1,902,828 	164172
뺑반	20190130	 1,826,912 	164173
변신	20190821	 1,804,112 	180351
주먹왕 랄프 2: 인터넷 속으로	20190103	 1,754,375 	152632
걸캅스	20190509	 1,629,528 	174065
사자	20190731	 1,611,163 	178544
드래곤 길들이기 3	20190130	 1,507,922 	109193
나의 특별한 형제	20190501	 1,478,156 	175366
어스	20190327	 1,475,087 	181414
말레피센트 2	20191017	 1,444,952 	167635
유열의 음악앨범	20190828	 1,245,532 	179158
퍼펙트맨	20191002	 1,240,022 	180390
포드 V 페라리	20191204	 1,208,407 	181710
생일	20190403	 1,197,565 	174050
힘을 내요, 미스터 리	20190911	 1,181,960 	175316
항거:유관순 이야기	20190227	 1,157,949 	182360
장사리 : 잊혀진 영웅들	20190925	 1,140,876 	159806
마이펫의 이중생활 2	20190731	 1,114,949 	180374
롱 리브 더 킹: 목포 영웅	20190619	 1,094,404 	179125
쥬만지: 넥스트 레벨	20191211	 1,054,963 	187349
존 윅 3: 파라벨룸	20190626	 1,004,365 	181698
천문: 하늘에 묻는다	20191226	 965,624 	181381
나랏말싸미	20190724	 958,775 	173668
엑스맨: 다크 피닉스	20190605	 862,744 	164125
맨 인 블랙: 인터내셔널	20190612	 851,917 	97631
레드슈즈	20190725	 817,729 	164907
뽀로로 극장판 보물섬 대모험	20190425	 766,843 	183136
캣츠	20191224	 728,328 	185933
명탐정 피카츄	20190509	 686,809 	167657
신비아파트 극장판 하늘도깨비 대 요르문간드	20191219	 672,122 	189046
나이브스 아웃	20191204	 667,411 	189000
샤잠!	20190403	 657,294 	140649
날씨의 아이	20191030	 655,876 	181114
나를 찾아줘	20191127	 645,082 	175324
광대들: 풍문조작단	20190821	 637,461 	167653
그것: 두 번째 이야기	20190904	 591,346 	167560
극장판 헬로카봇 : 달나라를 구해줘!	20190904	 590,413 	187366
극장판 헬로카봇: 옴파로스 섬의 비밀	20190131	 575,362 	181554
이스케이프 룸	20190314	 563,114 	180425
양자물리학	20190925	 554,939 	187629
애드 아스트라	20190919	 513,375 	159887
47미터 2	20190828	 501,934 	187161
애나벨 집으로	20190626	 481,766 	183850
감쪽같은 그녀	20191204	 469,296 	171752
글래스	20190117	 466,475 	163826
그린 북	20190109	 434,899 	171539
장난스런 키스	20190327	 428,009 	180381
해피 데스데이 2 유	20190214	 412,850 	181411
극장판 공룡메카드: 타이니소어의 섬	20190110	 410,132 	180372
제미니 맨	20191009	 387,342 	172764
고질라: 킹 오브 몬스터	20190529	 359,041 	137327
덤보	20190327	 345,521 	163787
러브 유어셀프 인 서울	20190126	 342,366 	180220
브링 더 소울 : 더 무비	20190807	 336,074 	187051
아담스 패밀리	20191107	 329,955 	184357
헬보이	20190410	 323,198 	164200
예스터데이	20190918	 306,332 	183110
천로역정: 천국을 찾아서	20190613	 296,588 	183836
미성년	20190411	 293,352 	171785
배심원들	20190515	 288,579 	177483
기방도령	20190710	 287,053 	180209
신데렐라:마법 반지의 비밀	20190220	 284,922 	181959
원스 어폰 어 타임... 인 할리우드	20190925	 277,319 	172836
기묘한 가족	20190213	 263,598 	169078
악질경찰	20190320	 262,233 	153580
라스트 크리스마스	20191205	 249,323 	189260
메리 포핀스 리턴즈	20190214	 224,160 	151151
명탐정 코난: 감청의 권	20190724	 219,078 	182001
신과함께-인과 연	20180801	 12,274,996 	167697
어벤져스: 인피니티 워	20180425	 11,212,710 	136315
미션 임파서블: 폴아웃	20180725	 6,584,915 	154222
쥬라기 월드: 폴른 킹덤	20180606	 5,661,128 	154285
앤트맨과 와스프	20180704	 5,448,134 	144330
안시성	20180919	 5,440,186 	163533
블랙 팬서	20180214	 5,399,227 	137326
완벽한 타인	20181031	 5,293,435 	167638
독전	20180522	 5,063,684 	158178
공작	20180808	 4,974,520 	153687
베놈	20181003	 3,888,096 	119428
암수살인	20181003	 3,789,321 	167105
데드풀 2	20180516	 3,784,602 	149236
국가부도의 날	20181128	 3,747,952 	164192
코코	20180111	 3,510,017 	151728
그것만이 내 세상	20180117	 3,419,339 	158180
마녀	20180627	 3,189,091 	175322
탐정: 리턴즈	20180613	 3,152,872 	159892
인크레더블 2	20180718	 3,033,052 	136990
서치	20180829	 2,949,944 	172425
너의 결혼식	20180822	 2,820,969 	140652
곤지암	20180328	 2,675,575 	172454
지금 만나러 갑니다	20180314	 2,602,273 	168298
목격자	20180815	 2,524,720 	169015
조선명탐정: 흡혈괴마의 비밀	20180208	 2,444,136 	165748
신비한 동물들과 그린델왈드의 범죄	20181114	 2,414,062 	154255
메이즈 러너: 데스 큐어	20180117	 2,299,732 	149248
맘마미아!2	20180808	 2,293,884 	164115
레디 플레이어 원	20180328	 2,254,430 	136898
명당	20180919	 2,087,474 	162981
협상	20180919	 1,967,721 	164106
마약왕	20181219	 1,813,594 	157297
쥬만지: 새로운 세계	20180103	 1,708,672 	152656
창궐	20181025	 1,599,290 	160487
성난황소	20181122	 1,593,386 	174835
도어락	20181205	 1,559,616 	171755
리틀 포레스트	20180228	 1,506,269 	154449
골든슬럼버	20180214	 1,387,508 	158112
램페이지	20180412	 1,385,511 	162249
궁합	20180228	 1,340,117 	141206
오션스8	20180613	 1,335,829 	153675
사라진 밤	20180307	 1,315,726 	165026
스윙키즈	20181219	 1,258,811 	164101
바람 바람 바람	20180405	 1,194,229 	142739
챔피언	20180501	 1,128,774 	169347
퍼시픽 림: 업라이징	20180321	 1,077,235 	125494
몬스터 호텔 3	20180808	 1,072,220 	169643
더 넌	20180919	 1,011,580 	168049
스카이스크래퍼	20180711	 1,002,858 	160375
염력	20180131	 990,104 	153651
월요일이 사라졌다	20180222	 903,175 	118955
인랑	20180725	 898,945 	109906
극장판 헬로카봇 : 백악기 시대	20180801	 879,449 	175727
레슬러	20180509	 771,141 	159877
상류사회	20180829	 768,442 	172010
물괴	20180912	 723,622 	132996
미쓰백	20181011	 722,182 	155356
신비아파트: 금빛 도깨비와 비밀의 동굴	20180725	 678,091 	174805
퍼스트맨	20181018	 665,364 	168058
스파이더맨: 뉴 유니버스	20181212	 639,934 	171725
인시디어스4: 라스트 키	20180131	 554,521 	158647
그날, 바다	20180412	 540,631 	173653
툼레이더	20180308	 540,410 	158601
페르디난드	20180103	 533,776 	160491
버닝	20180517	 528,435 	155263
7년의 밤	20180328	 528,007 	85578
메가로돈	20180815	 527,962 	152661
콰이어트 플레이스	20180412	 526,073 	168011
호두까기 인형과 4개의 왕국	20181206	 513,767 	158622
셰이프 오브 워터: 사랑의 모양	20180222	 507,102 	158626
곰돌이 푸 다시 만나 행복해	20181003	 492,201 	168023
변산	20180704	 490,519 	164151
그린치	20181219	 485,064 	150688
스타 이즈 본	20181009	 483,852 	168050
동네사람들	20181107	 461,693 	166610
원더풀 고스트	20180926	 450,374 	152156
흥부: 글로 세상을 바꾼 자	20180214	 416,303 	159805
명탐정 코난 : 제로의 집행인	20180808	 396,230 	173019
피터 래빗	20180516	 388,300 	154226
점박이 한반도의 공룡2 : 새로운 낙원	20181225	 375,312 	180379
패딩턴 2	20180208	 339,014 	146489
허스토리	20180627	 336,822 	167787
미드나잇 선	20180621	 326,086 	143416
덕구	20180405	 315,663 	154667
번 더 스테이지: 더 무비	20181115	 315,010 	176354
트루스 오어 데어	20180522	 310,956 	164183
커뮤터	20180124	 286,062 	152249
후드	20181128	 284,601 	144266
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~	20181219	 277,206 	172975
해리포터와 마법사의 돌	20011213	 267,950 	30688
모털 엔진	20181205	 267,896 	156496
바울	20181031	 267,785 	173692
